iter	Logloss
358	0.4340596077
359	0.434024778
360	0.4339861526
361	0.4339615856
362	0.4339172481
363	0.4338427891
364	0.4337553395
365	0.4337085544
366	0.4336782565
367	0.4336576743
368	0.4336077537
369	0.4335472041
370	0.4334795938
371	0.4334001273
372	0.4333548199
373	0.4332988625
374	0.4332297005
375	0.4331359617
376	0.4331239419
377	0.4330685828
378	0.4330148217
379	0.4329517959
380	0.432884688
381	0.4328126574
382	0.4327979724
383	0.4327951845
384	0.4327680033
385	0.4327401125
386	0.4326883721
387	0.4326152326
388	0.4325370374
389	0.4324865171
390	0.4324464259
391	0.4324084916
392	0.4323615617
393	0.4323481711
394	0.4323268275
395	0.4322856964
396	0.4322397242
397	0.4322151844
398	0.4322082087
399	0.432166183
